iter	Logloss
0	0.6611102324
1	0.6343586415
2	0.6132697832
3	0.5949070098
4	0.5798225828
5	0.5669517428
6	0.5575007627
7	0.5494066539
8	0.5432980368
9	0.5381092958
10	0.5322569849
11	0.528592104
12	0.5233123047
13	0.5197974708
14	0.5170402389
15	0.5140960581
16	0.5117077298
17	0.5091931483
18	0.5069947694
19	0.5049626008
20	0.5039053526
21	0.5021477608
22	0.5003340311
23	0.4990275798
24	0.4980223781
25	0.4975584877
26	0.4966925111
27	0.4952228697
28	0.4942385847
29	0.4932276033
30	0.4924428229
31	0.4917535768
32	0.4909055962
33	0.4901180937
34	0.4889522741
35	0.4882764103
36	0.4877210537
37	0.4869525694
38	0.4865735161
39	0.4860109807
40	0.4855516751
41	0.4850172123
42	0.484537369
43	0.4838235704
44	0.4832266325
45	0.4828869881
46	0.4818860629
47	0.4814893646
48	0.4809777111
49	0.4806092907
50	0.4801947116
51	0.4799744327
52	0.4796902747
53	0.479238086
54	0.4787138333
55	0.4783869198
56	0.4779945656
57	0.4774758186
58	0.4769887971
59	0.4766935264
60	0.476090056
61	0.4756933708
62	0.4753092502
63	0.4745577421
64	0.4741926712
65	0.4736299601
66	0.473407524
67	0.4731888339
68	0.4725270575
69	0.4720465247
70	0.4717357923
71	0.4713190283
72	0.4709195513
73	0.4703686424
74	0.4700145122
75	0.4694614428
76	0.4691029893
77	0.4688081528
78	0.4682773758
79	0.4680416173
80	0.4677252553
81	0.467362899
82	0.4670415623
83	0.4667390947
84	0.4663371566
85	0.4660108081
86	0.4658021028
87	0.4654852782
88	0.4650826985
89	0.4649263112
90	0.4646656014
91	0.4643362533
92	0.4639927732
93	0.4636933742
94	0.4634177399
95	0.4632195112
96	0.4630481814
97	0.4628217765
98	0.4623187033
99	0.4620596757
100	0.4616810035
101	0.4611891987
102	0.4609558455
103	0.4606157928
104	0.4603997251
105	0.460154622
106	0.4598857661
107	0.4594422115
108	0.4591144412
109	0.4587867216
110	0.4585125008
111	0.4582199978
112	0.457852229
113	0.457696615
114	0.4574203899
115	0.4570188604
116	0.4567368948
117	0.4564973963
118	0.4560041021
119	0.4556705295
120	0.4552982784
121	0.4550407049
122	0.4547361959
123	0.4544072949
124	0.4541341039
125	0.4539579515
126	0.4537532488
127	0.4535373731
128	0.4532459717
129	0.452963516
130	0.452742451
