iter	Passed	Remaining
0	18	9059
1	32	8079
2	44	7446
3	54	6719
4	62	6210
5	71	5850
6	106	7474
7	118	7270
8	130	7095
9	136	6695
10	143	6377
11	149	6069
12	157	5884
13	163	5690
14	173	5598
15	181	5501
16	192	5468
17	202	5415
18	210	5339
19	220	5284
20	230	5246
21	238	5184
22	245	5095
23	253	5035
24	261	4968
25	267	4881
26	275	4831
27	285	4819
28	296	4809
29	303	4752
30	313	4745
31	322	4711
32	332	4703
33	350	4810
34	361	4802
35	370	4777
36	380	4763
37	388	4723
38	394	4667
39	401	4619
40	410	4592
41	419	4569
42	425	4524
43	436	4518
44	444	4492
45	453	4472
46	461	4447
47	469	4417
48	477	4395
49	485	4366
50	492	4339
51	499	4301
52	506	4273
53	514	4248
54	521	4218
55	527	4180
56	534	4156
57	542	4135
58	550	4117
59	558	4098
60	567	4083
61	575	4064
62	583	4047
63	591	4027
64	599	4010
65	606	3985
66	616	3986
67	624	3967
68	632	3948
69	639	3928
70	646	3909
71	655	3897
72	662	3877
73	671	3864
74	680	3854
75	687	3837
76	696	3825
77	705	3816
78	714	3805
79	722	3790
80	728	3767
81	737	3759
82	744	3739
83	750	3716
84	757	3699
85	765	3685
86	772	3669
87	780	3655
88	788	3639
89	795	3625
90	802	3606
91	811	3596
92	820	3589
93	828	3577
94	836	3566
95	844	3553
96	852	3541
97	859	3526
98	867	3515
99	876	3505
100	883	3488
101	889	3468
102	896	3454
103	906	3449
104	913	3437
105	923	3432
106	934	3432
107	941	3416
108	950	3407
109	957	3395
110	966	3386
111	975	3377
112	982	3366
113	990	3353
114	998	3343
115	1007	3335
116	1014	3320
117	1076	3486
118	1109	3552
119	1128	3574
120	1139	3567
121	1148	3557
122	1173	3597
123	1186	3596
124	1196	3588
125	1204	3576
126	1212	3561
127	1219	3542
128	1227	3530
129	1235	3516
130	1242	3499
131	1248	3480
132	1255	3465
133	1263	3452
134	1272	3439
135	1279	3425
136	1287	3412
137	1294	3395
138	1303	3384
139	1310	3370
140	1317	3354
141	1325	3341
142	1331	3325
143	1339	3312
144	1347	3299
145	1355	3286
146	1362	3272
147	1368	3254
148	1376	3243
149	1385	3233
